"","Monocyte_Non-Classical","Macrophage_Alveolar","NK","Monocyte","Lymphatic-Endothelial","Macrophage","Fibroblast","Basal","Myofibroblast","Dendritic_A","B","Vascular-Endothelial_A","T","ATII","ATI","Vascular-Endothelial_D","Vascular-Endothelial_C","Ciliated","Club","Vascular-Endothelial_B","B_Plasma","Innate_lymphoid_A","T_Cytotoxic","Goblet","T_Regulatory","Mesothelial","Innate_lymphoid_B","Smooth-Muscle","Dendritic_B","Dendritic_Langerhans","Mast","Dendritic_Plasmacytoid","Dendritic_C","Vascular-Endothelial_E","Pericytes","Mystery_Disease_Epithelial","Ionocyte","Neuroendocrine"
"Monocyte_Non-Classical",0.0544859007581903,0.0824129269838267,0,0,0,0.0688947839820053,0,0.0720983437745562,0,0.0867929294175182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macrophage_Alveolar",0.073350734983167,0.0938348014889963,0,0,0,0.0617902550511731,0,0.124951635250445,0,0.221525069334849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monocyte",0.149891446732714,0.291605209700968,0,0,0,0.190332115124338,0,0.296710631960435,0,0.347947688902656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lymphatic-Endothelial",0.0420539045574845,0.0537719757249721,0,0,0,0.0513291609191874,0,0.0398672461633991,0,0.0925864469132606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macrophage",0.043273410867461,0.0870823065434158,0,0,0,0.0569670443757585,0,0.11651101656847,0,0.185055420183027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblast",0.516595677804852,0.470331209930002,0.33626235606116,0.73833893607634,0.318392214174088,0.488969075365274,0.710059993603508,0.458699616747731,0.606833866653165,0.619438321428811,0,0.208510140295915,0.210039766449949,0,0.231514588542646,0.43523559792804,0.394578258320697,0.695301432103224,0.7364333247697,0.238667860532604,0.286752796280023,0.108974713895709,0.184178156990908,0.535681494641421,0.293677024662271,0.364264557110112,0,0.190242390556843,0.265574429520203,0.424347718596569,0.384628236079738,0.706079092689444,0.551642739383147,0.265498198331326,0,0,0,0
"Basal",1.11914622310169,0.993029874295211,0.677291919584365,1.31654416684799,0.56570978136569,1.23265073250659,0.945057278832392,0.745482261297851,0.733833389877645,1.21682220369726,0,0.266996680861283,0.42348119411833,0,0.303107195833861,0.599402800949848,0.562069099485688,1.33917415847837,1.14984393946373,0.38837549760027,0.450688791480064,0.156072216331421,0.354931299125613,0.714154932486726,0.579563945520746,0.516046463165798,0,0.233267929607737,0.388613718791728,0.731906185378253,0.53005792169985,1.00707728713441,0.771959720936758,0.466384247901567,0,0,0,0
"Myofibroblast",0.327211670853727,0.263215139745249,0.353080403834123,0.433063666441628,0.276535708731191,0.279504195584189,0.638846357104966,0.326910356589229,0.339790291729954,0.360422633782555,0,0.181489959380678,0.12836077266458,0,0.192336033914634,0.30800679472382,0.253708292316265,0.549171771595247,0.481367120076318,0.196889024962225,0.212496807279897,0.0749837259414691,0.117776538551284,0.340861217921693,0.19595293429383,0.272009104126654,0,0.15544531218092,0.198380751379381,0.254392778825367,0.26208136528206,0.453894143957833,0.325976635462344,0.163882440318749,0,0,0,0
"Dendritic_A",0.012628301216889,0.0175108308700089,0,0,0,0.0123697435256989,0,0.01377130093494,0,0.0331192515529873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B",0.0056799832050603,0.010490017080731,0,0,0,0.00793662414300905,0,0.00837340216046493,0,0.0309268454417496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vascular-Endothelial_A",0.456162545038286,0.46267867778391,0.419460438407976,0.627485294442029,0.420254918519925,0.483684444269545,0.765149311451388,0.402267527503963,0.55224246430206,0.488512643763688,0,0.214235169766788,0.167573218608067,0,0.247451527784084,0.519621580655844,0.352649942119849,0.715368724957198,0.596550856988838,0.300161766472141,0.328006892131492,0.0942037407333159,0.187756148396754,0.540319149226734,0.287097687794731,0.401839912188314,0,0.192789415455507,0.278435887828363,0.383873124478372,0.3449676790719,0.621145997005681,0.323731072925676,0.255600307077496,0,0,0,0
"T",0.00283672849258045,0.0189026816982301,0,0,0,0.0126793305527995,0,0.0286071904372845,0,0.0603782549412707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATII",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATI",0.637393013422506,0.503256867268423,0.352291422126987,0.735379546163206,0.321959408272656,0.559435228505518,0.734445914536595,0.540549498593575,0.4571723935694,0.803930285705663,0,0.191026415752615,0.17781631299234,0,0.20902810446462,0.439672149437806,0.351922805423947,0.751527532672722,0.705963711847625,0.224922671226754,0.397212523152183,0.105497700214469,0.176181025524055,0.502951720240463,0.283680610328705,0.308735073137781,0,0.159256748350221,0.28699017354155,0.390005873099101,0.314938303467498,0.686086264022311,0.524912586214254,0.241862596794193,0,0,0,0
"Vascular-Endothelial_D",0.55397994269137,0.483599692732162,0.768246017654226,0.71245594611831,0.703214364930985,0.563622695222817,0.898706424794929,0.425218393904174,0.721100925797617,0.542674816354597,0,0.313494808235529,0.263893173228033,0,0.27272732463896,0.516523853415069,0.605469455384744,1.00042422079185,0.758804721988655,0.30898961478334,0.350246502097019,0.160630621824662,0.290803746279615,0.567261041358397,0.321779586438111,0.490578561507878,0,0.195729643399516,0.296431247175668,0.545600121562596,0.520650228055115,0.681839319631596,0.520276125728027,0.26997194919811,0,0,0,0
"Vascular-Endothelial_C",0.54984537896708,0.565638701276482,0.652345319314666,0.839363696831328,0.405996218485357,0.649926765416526,0.772562224482184,0.477335642648884,0.611812330690796,0.665300117169283,0,0.241209769366969,0.277993230404852,0,0.278525147143915,0.674415740473399,0.405092927870547,0.806301849866519,0.782817584364046,0.313650828581811,0.369610887907182,0.145897521096615,0.421483210228691,0.615172842357259,0.326881334816568,0.43315175092387,0,0.26357125080411,0.369502691295174,0.504007724267861,0.489038897137245,0.823986893864573,0.454955946700621,0.336315888940086,0,0,0,0
"Ciliated",0.415180546479178,0.280928555715869,0.284556414544306,0.72973174455735,0.170492016091317,0.449197722255517,0.56298030461389,0.427647712509672,0.293236323112584,0.659310723306092,0,0.140928990549931,0.0967174126358458,0,0.165522445735973,0.262098252322768,0.208698674201623,0.626289709168013,0.456988677723531,0.173912229781688,0.143539919366743,0.125791393909005,0.116900342424533,0.414310978092019,0.206119623826478,0.19918461445551,0,0.10946887823958,0.160707160146691,0.269823725211719,0.266656539780156,0.49058541368914,0.567543637976266,0.168769481912931,0,0,0,0
