"","Aberrant_Basaloid","ATI","ATII","B","B_Plasma","Basal","cDC1","cDC2","Ciliated","Club","cMonocyte","DC_Langerhans","DC_Mature","Fibroblast","Goblet","ILC_A","ILC_B","Ionocyte","Lymphatic","Macrophage","Macrophage_Alveolar","Mast","Mesothelial","Myofibroblast","ncMonocyte","NK","pDC","Pericyte","PNEC","SMC","T","T_Cytotoxic","T_Regulatory","VE_Arterial","VE_Capillary_A","VE_Capillary_B","VE_Peribronchial","VE_Venous"
"Aberrant_Basaloid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATI",0,0.245128170293996,0.344237434976944,0.0536380295323979,0.310309902626131,0.324306222051795,0,0,0.55656995413363,0.182401226323083,0,0,0,0.389664162241546,0.697692623805652,0,0,0.393542716141626,0,0.491156404853631,0.405547449946593,0.321331509304197,0.613171703648085,0.285699413049792,0,0.120412327026699,0,0,0,0,0.0573210074549285,0,0.109516464784162,0,0,0,0,0
"ATII",0,0.185202150917747,0.26660562466752,0.0300012079274107,0.144707270341754,0.244074688317351,0,0,0.393478372295488,0.144926517972885,0,0,0,0.317957577227504,0.539663151845268,0,0,0.352975115788981,0,0.323006860944452,0.156485623823417,0.269508435236354,0.423454783916966,0.231065294902561,0,0.121037105364142,0,0,0,0,0.0341645742746191,0,0.0625350484071483,0,0,0,0,0
"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B_Plasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Basal",0,0.418841736715038,0.901957909695983,0,0.54351453393699,1.16979804007364,0,0,1.04723834736725,0.41499995102409,0,0,0,0.508131232025898,1.38240769638244,0,0,0.440694501869651,0,0.0896457985577623,0.0749030529964702,0,0.850360883667648,0.734911024498373,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cDC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cDC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ciliated",0,0.14676554639664,0.213783264763868,0.0197276338106553,0.142442714215984,0.193054803321712,0,0,0.335681415191321,0.117585441569929,0,0,0,0.261027061119054,0.374281240941109,0,0,0.301116674078175,0,0.377182650710067,0.168623763579186,0.217432950062286,0.359130121445081,0.188959638862668,0,0.104459759027539,0,0,0,0,0.0235579308500871,0,0.0417852895694514,0,0,0,0,0
"Club",0,0.202048048414425,0.317701076578801,0.0634209820084785,0.364718546088814,0.377753784641622,0,0,0.613692280766768,0.21176606613502,0,0,0,0.451636673551776,0.719155279929787,0,0,0.453234438032185,0,0.633463434236574,0.422074959123557,0.377177753637931,0.642922529759246,0.331324617145764,0,0.14169165823476,0,0,0,0,0.067584348355687,0,0.129374596569284,0,0,0,0,0
