"","Aberrant_Basaloid","ATI","ATII","B","B_Plasma","Basal","cDC1","cDC2","Ciliated","Club","cMonocyte","DC_Langerhans","DC_Mature","Fibroblast","Goblet","ILC_A","ILC_B","Ionocyte","Lymphatic","Macrophage","Macrophage_Alveolar","Mast","Mesothelial","Myofibroblast","ncMonocyte","NK","pDC","Pericyte","PNEC","SMC","T","T_Cytotoxic","T_Regulatory","VE_Arterial","VE_Capillary_A","VE_Capillary_B","VE_Peribronchial","VE_Venous"
"Aberrant_Basaloid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATI",0,0.296903945890756,0.256784121699217,0,0.0334417516042154,0.392086099239876,0,0,0.283550768258825,0.149386370119724,0,0,0,0.255625449020669,0.205038355587476,0,0,0.376118516099824,0,0.274470680876657,0.199937669387658,0.128604733197577,0,0.395987957075781,0,0.03775712023369,0,0,0,0,0.0310735626206862,0.0306290595458977,0.0677575668553818,0,0,0,0,0
"ATII",0,0.29996567768198,0.289643265658598,0,0.0331964840964288,0.447423119304097,0,0,0.210356393063788,0.155049843505983,0,0,0,0.279753428676257,0.208746313383291,0,0,0.4113557476574,0,0.274296394452204,0.161836466000056,0.180274777832464,0,0.438424089955949,0,0.0662813066772521,0,0,0,0,0.0305194008976567,0.0300169191609393,0.0673810401415848,0,0,0,0,0
"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B_Plasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Basal",0,0.732062735886071,1.09649259543574,0,0,0.897949173878173,0,0,0.570514642709197,0.594331048720396,0,0,0,0,0.519468363119741,0,0,0.758017776358351,0,0.51739172237276,0.109343829204361,0.290592159971929,0,0.695532407594339,0,0.231624070660392,0,0,0,0,0,0,0,0,0,0,0,0
"cDC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cDC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ciliated",0,0.173959058612966,0.168029273487081,0,0.0127653268305268,0.289254647411312,0,0,0.184822324799892,0.0893195404109416,0,0,0,0.221822277305781,0.103169415621689,0,0,0.119234097688659,0,0.171790950986945,0.0979817239128887,0.120736580301601,0,0.367799285683098,0,0.0514134639151807,0,0,0,0,0.0103024102876564,0.00984012708987644,0.0264396798538826,0,0,0,0,0
"Club",0,0.170058452095182,0.112693389399543,0,0.0110041834930477,0.285896090018477,0,0,0.186537972516606,0.0669254226202909,0,0,0,0.235368827469495,0.0819257935718328,0,0,0.344778845847257,0,0.120844548458319,0.103178141626291,0.0649806564794999,0,0.394039488749187,0,0.0158824262915843,0,0,0,0,0.00832710029427557,0.00782461855755819,0.0229964389348226,0,0,0,0,0
