"","Aberrant_Basaloid","ATI","ATII","B","B_Plasma","Basal","cDC1","cDC2","Ciliated","Club","cMonocyte","DC_Langerhans","DC_Mature","Fibroblast","Goblet","ILC_A","ILC_B","Ionocyte","Lymphatic","Macrophage","Macrophage_Alveolar","Mast","Mesothelial","Myofibroblast","ncMonocyte","NK","pDC","Pericyte","PNEC","SMC","T","T_Cytotoxic","T_Regulatory","VE_Arterial","VE_Capillary_A","VE_Capillary_B","VE_Peribronchial","VE_Venous"
"Aberrant_Basaloid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATI",0,1.34254390763976,0.900775150374442,0,0,0.886347060764902,0,0,1.16327689882193,1.27273812978191,0,0,0,0.962876006569837,0.591372310578453,0,0,0,0,0.83537970751197,0.484318627480436,0.621234437106221,0.322008744642707,0.618803606316883,0,0.0994462874954674,0,0,0,0,0,0,0.0946250253419068,0,0,0,0,0
"ATII",0,0.166503188074703,0,0,0,0.160057108804196,0,0,0.148300011755932,0.145927346010468,0,0,0,0,0,0,0,0,0,0.0282072677685636,0,0.154876965926948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B_Plasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Basal",0,1.72348097964036,1.58721592277577,0,0,1.66545196842732,0,0,1.34210176990983,1.73224912502938,0,0,0,0.89220383304462,1.04513920448292,0,0,0,0,0.259846538233363,0,0.573081073292016,0.481012919239798,0.915279644908224,0,0.128442059736027,0,0,0,0,0,0,0,0,0,0,0,0
"cDC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cDC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ciliated",0,0.863740393618295,0.691082179842699,0,0,0.542660451725338,0,0,0.619348599961786,0.711782568726537,0,0,0,0.706522274976565,0.369303226454871,0,0,0,0,0.60049083776906,0.204784067688777,0.398678141477659,0.187454708500383,0.446976569332181,0,0.109403087123468,0,0,0,0,0,0,0.0492652310462389,0,0,0,0,0
"Club",0,0.878492282234848,0.579734945080056,0,0,0.654648916594036,0,0,0.851883203145685,0.805025236668689,0,0,0,0.833320665608965,0.455884609718775,0,0,0,0,0.630126407868091,0.266165825302064,0.402661172305017,0.236435953469809,0.529418544479677,0,0.0698928984600244,0,0,0,0,0,0,0.0644427760255646,0,0,0,0,0
