"","ATI","ATII","B","B_Plasma","Basal","Ciliated","Club","Dendritic_A","Dendritic_B","Dendritic_C","Dendritic_Langerhans","Dendritic_Plasmacytoid","Fibroblast","Goblet","Innate_lymphoid_A","Innate_lymphoid_B","Lymphatic-Endothelial","Macrophage","Macrophage_Alveolar","Mast","Mesothelial","Monocyte","Monocyte_Non-Classical","Myofibroblast","Mystery_Disease_Epithelial","NK","Pericytes","Smooth-Muscle","T","T_Cytotoxic","T_Regulatory","Vascular-Endothelial_A","Vascular-Endothelial_B","Vascular-Endothelial_C","Vascular-Endothelial_D","Vascular-Endothelial_E"
"ATI",0.399682982852319,0.407248277679044,0,0.126513330954256,0.372341804795516,0.645528476948598,0.404787767433136,0.421203167876111,0,0,0,0,0.585855854310621,0.718539877263471,0.130811752554939,0.128899377794511,0.0661686843713285,0.218864292629805,0.293241118815124,0,0.267139050746401,0.532484204498115,0.288079505488075,0.381275127770474,0,0.0557887293917546,0,0,0.0578005690727242,0.0566633754847023,0.13728280149414,0.0989738891330614,0.060427561176766,0.246912971011811,0,0
"ATII",0.316242393711265,0.393283894607093,0,0.0327493745268366,0.219126803265489,0.461989716141683,0.288119731728698,0.300544477180998,0,0,0,0,0.438301027083917,0.69032143726804,0.0800875790012098,0.125531188051565,0.0409060943023585,0.0841924867339152,0.0986191072603905,0,0.200303410665459,0.354511848987026,0.203812337255142,0.329326802083975,0,0.0654400199202962,0,0,0.0314464857039362,0.0301609625174767,0.0874026778020457,0.0320829865969202,0.0344161289519834,0.131531894398959,0,0
"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B_Plasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Basal",0.843718904014034,0.758238838655081,0,0,0.687488211023583,0.651219980354575,0.785374589566328,0.347892326122455,0,0,0,0,0.58550614352134,1.02389207662798,0.23979118819547,0.147531855433618,0.270289778636737,0,0,0,0.475988346731853,0.498139255363726,0.311905129846098,0.794276416604116,0,0.114936151277641,0,0,0,0,0.286509675221426,0.0841512731828245,0,0.101769540018732,0,0
"Ciliated",0.22914788217894,0.168690487852447,0,0.0383126541986908,0.154082452002997,0.239977680579367,0.187826253146122,0.137184410185606,0,0,0,0,0.376137063498706,0.342569506132568,0.0427830126634011,0.0407941429125554,0.0221848267493138,0.0410964443475262,0.0559184132671631,0,0.137932797785654,0.196674926680798,0.0959781623314175,0.25663431789069,0,0.011389673570557,0,0,0.0134819868387653,0.0122993055072226,0.0495129035601701,0.0346708853037741,0.0162140586269688,0.0952663204639383,0,0
"Club",0.405306028450418,0.483565043976422,0,0.165943971312598,0.478230381005703,0.704041989864087,0.514908425726491,0.575457718647905,0,0,0,0,0.719594089153213,0.869853247987889,0.170803056600327,0.168641241653756,0.086263833101917,0.293269612136224,0.309380447918438,0,0.336376627064134,0.717456452202523,0.406368536840201,0.465400018482651,0,0.0745299709510944,0,0,0.0768042245034948,0.0755187013170353,0.178118155401163,0.109870604080504,0.079773867751542,0.30616308229415,0,0
"Dendritic_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
