"","ATI","ATII","B","B_Plasma","Basal","Ciliated","Club","Dendritic_A","Dendritic_B","Dendritic_C","Dendritic_Langerhans","Dendritic_Plasmacytoid","Fibroblast","Goblet","Innate_lymphoid_A","Innate_lymphoid_B","Lymphatic-Endothelial","Macrophage","Macrophage_Alveolar","Mast","Mesothelial","Monocyte","Monocyte_Non-Classical","Myofibroblast","Mystery_Disease_Epithelial","NK","Pericytes","Smooth-Muscle","T","T_Cytotoxic","T_Regulatory","Vascular-Endothelial_A","Vascular-Endothelial_B","Vascular-Endothelial_C","Vascular-Endothelial_D","Vascular-Endothelial_E"
"ATI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATII",0,0,0,0,0.066328934678167,0.495866468614282,0,0.0327627573915159,0.414482587831039,0,0,0,0,0,0,0,0,0.0315331791356332,0.0424703815879817,0,0,0,0.414337803620379,0,0,0,0,0,0,0,0,0,0,0,0,0
"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B_Plasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Basal",0,0,0,0,0.319505443358325,0,0,0.223002683659203,0,0,0,0,0,0,0,0,0,0.21946764617354,0.250912103224042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ciliated",0,0.84275118973821,0,0.820133594830754,2.27429895466842,1.03572641646097,0.863913778395895,2.00855016086767,1.0554644326276,0.922621734448716,1.45291945875863,0,1.11541165363323,0,0.706632081704328,0.654978519771913,0,2.00735511383831,1.36143565492456,0,0.831925765218335,1.50487227632257,1.27651995333956,1.2874709691065,0,0.423313122185903,0,0,0.200560779469638,0.612999540700498,0,0,0,0,0,0.70952128479684
"Club",0,0,0,0,0.120516065018606,0,0,0.0869498877319551,0,0,0,0,0,0,0,0,0,0.0857203094760724,0.0966575119284209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_Langerhans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_Plasmacytoid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblast",0,1.65082846528298,0,0.714514758460303,1.59750013649769,2.09535594771469,1.65082846528298,0,0,0.651511364924028,0.67111057947078,0,1.65082846528298,0,0,0,0,0.679534219685934,1.37782071035434,0,0,0.680563313737776,0.668304312141173,1.65082846528298,0,0,0,0,0,0,0,0,0,0,0,0.744595914500317
"Goblet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Innate_lymphoid_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Innate_lymphoid_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lymphatic-Endothelial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macrophage",0,0,0,0,0.966763691802128,0,0,0.194741614209153,0,0,0,0,0,0,0,0,0,0.166461314323852,0.418016970727867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macrophage_Alveolar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mast",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mesothelial",0,2.01214747644278,0,0.691721752810486,3.93214491931205,1.06440999697324,1.36051725768383,1.4048914083227,0.725555074589344,1.40020713902226,1.37154444548411,0,0.887583923541247,0,0.687433475515371,0.764671205684142,0,2.65907863361409,2.68818009687212,0,1.36051725768383,2.08719378099684,1.98319032097328,2.08383938587855,0,0.713225687226864,0,0,0,0.653897778629042,0,0,0,0,0,0.713208292839068
"Monocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monocyte_Non-Classical",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myofibroblast",0,1.10888314439238,0,0.813661816028639,2.13160354749523,1.8891137058697,1.13672865578407,2.19748652225931,1.12287100532411,1.15080460833083,1.63654519699251,0,1.4676469126753,0,0.929779054874116,0.861813841805149,0,2.46738841524922,1.66522695575127,0,1.09463916476097,1.92830797516379,1.63316629370415,1.69404074882434,0,0.556990950244609,0,0,0.263895762460051,0.806578343026971,0,0,0,0,0,0.933580637890579
"Mystery_Disease_Epithelial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pericytes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
