"","ATI","ATII","B","B_Plasma","Basal","Ciliated","Club","Dendritic_A","Dendritic_B","Dendritic_C","Dendritic_Langerhans","Dendritic_Plasmacytoid","Fibroblast","Goblet","Innate_lymphoid_A","Innate_lymphoid_B","Lymphatic-Endothelial","Macrophage","Macrophage_Alveolar","Mast","Mesothelial","Monocyte","Monocyte_Non-Classical","Myofibroblast","Mystery_Disease_Epithelial","NK","Pericytes","Smooth-Muscle","T","T_Cytotoxic","T_Regulatory","Vascular-Endothelial_A","Vascular-Endothelial_B","Vascular-Endothelial_C","Vascular-Endothelial_D","Vascular-Endothelial_E"
"ATI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATII",0,0.534647274916056,0,0.686405517024189,0.934766615500219,0.934916495749971,1.04956769071378,0.867165797255633,0.357001533219066,0.11136030566475,0.215999042429866,0.350730767151464,0.822536710951171,0.992212391571427,0.253801323657058,0.253187879214163,0.401490731466919,0.623411238467258,0.432801765956239,0.3344100045085,0,0.629992184704211,0.425452745130948,0.772871945953269,1.50447490348388,0.112697177300604,0.394662084302919,1.10546432463894,0,0.102260171301307,0,0.171737161166112,0,0.177060450889621,0.427926771939728,0.470040751036929
"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B_Plasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Basal",0,0.94546868867421,0,0.124525375602643,1.66663526106584,1.16281757776549,1.56429804306522,0.32836281358622,0.151678423780483,0.0882531058173259,0.334596312516019,0.492129889838221,0.902266395488177,1.56748343314567,0.309515892300075,0.15019650520964,0.45237173872361,0.175001174626492,0.0634371162627386,0.116542351966495,0,0.430735361900987,0.0635606975534011,0.993491103220922,1.99709316397073,0.0920966117704077,0,0.925245883542196,0,0,0,0.501939498110047,0,0,0,0.49877889969974
"Ciliated",0,0.284597551853912,0,0.270278029325709,0.422654994041772,0.401364159308335,0.371381701961432,0.406229880659523,0.16399862765603,0.0824650263695098,0.0818367321395903,0.19069172056877,0.402116178080224,0.387902029069032,0.214963892648654,0.138939371227819,0.18727128026017,0.274433830095821,0.183857787660642,0.131970878261833,0,0.429971269872009,0.152447005827178,0.427348113481125,0.632067580520158,0.0620194787657622,0.221242079160745,0.488633634262119,0,0.0231558383982314,0,0.0870746690738527,0,0.120607853256145,0.251845591786609,0.192817161824464
"Club",0,0.309405794514134,0,0.30533524013722,0.577779793359432,0.594036448254549,0.56056618082798,0.431429148666801,0.0993122226999418,0.0755396702467321,0.113512442326741,0.178283075022466,0.478015256610771,0.537908562931651,0.145601052113371,0.115379297478003,0.236301702892954,0.323036690422854,0.244751898087033,0.12769713190426,0,0.429920342274789,0.184755175576227,0.49725478248095,0.78961812997173,0.0437928864325245,0.256853502566759,0.79720059608083,0,0.0333558804332267,0,0.102832870298032,0,0.147468474409586,0.0400483162769622,0.250998101332026
"Dendritic_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_C",0,0.437973542468462,0,0,0.336913230501279,0,0,0.083649372913047,0,0,0,0,0,0.100409764972367,0,0,0,0.0669517280839944,0.0858175521445141,0,0,0.267122037279805,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193785162692231
"Dendritic_Langerhans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_Plasmacytoid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblast",0,1.38189067204379,0,0.767612695731981,0.724115915431408,0.784560459592766,0.840560608816963,0.581774078079932,0,0,1.18573959566846,1.14789753971911,1.40525685885812,0.805417264331126,0,0,0.692290705069895,0.579161621442035,1.19237957491106,0,0,0.563830776590717,0.569618318888948,1.4785655277488,0.894036572574046,0,0.960591466600255,1.82374529195113,0,0,0,0,0,0.589824833053006,0,0
"Goblet",0,0.465798067169111,0,0.228401914608463,0.775290001623481,0.510263756213891,0.616050101608696,0.612932848005829,0.200718445759193,0.141024028852692,0.124031665443097,0.338531280799685,0.30851341420213,0.66895599340122,0.40848341403133,0.199323698868987,0.123733826070495,0.408404717638274,0.197947582746126,0.167649201698968,0,0.767018573846191,0.240309769546384,0.28923124074038,0.890940007892871,0.144641446220298,0,0.492772509683008,0,0,0,0.147059830487642,0,0.0611202548447181,0,0.2638028955255
"Innate_lymphoid_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Innate_lymphoid_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lymphatic-Endothelial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macrophage",0,0.506421015282445,0,0,0.405360703315263,0,0,0.152096845727031,0,0,0,0,0,0.168857237786351,0,0,0,0.135399200897978,0.154265024958498,0,0,0.335569510093789,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262232635506215
"Macrophage_Alveolar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mast",0,1.17862498677466,0,0,1.07756467480748,0,0,0.824300817219247,0,0,0,0,0,0.841061209278567,0,0,0,0.807603172390195,0.826468996450714,0,0,1.00777348158601,0,0,0,0,0,0,0,0,0,0,0,0,0,0.934436606998431
"Mesothelial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monocyte_Non-Classical",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myofibroblast",0,0.796583727660383,0,0.789246454883523,0.933773437523,0.880602769141955,1.01267562912635,1.03843121525753,0.411327007350201,0.127860332745316,0.366808427317255,0.405463986363594,0.960981095328198,1.11979860758014,0.293344685676624,0.153941764068396,0.465182352597602,0.75883898990425,0.664031406353449,0.383979367332147,0,0.897199151274899,0.605982049865328,0.907804838126961,1.56443170113981,0.129478651041351,0.463860343300562,1.4238295579413,0,0.116844380621148,0,0.200948105194334,0,0.331446888162931,0.504128123071436,0.589443884366581
"Mystery_Disease_Epithelial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pericytes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smooth-Muscle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T_Cytotoxic",0,0.584653452429009,0,0,0.483593140461826,0,0,0.230329282873594,0,0,0,0,0,0.247089674932914,0,0,0,0.213631638044542,0.232497462105061,0,0,0.413801947240353,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340465072652778
"T_Regulatory",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vascular-Endothelial_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vascular-Endothelial_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vascular-Endothelial_C",0,0,0,0.312854075327807,0,0.531117582229081,0.520990223659819,0.300134115449958,0,0,0,0,0.368148275005378,0,0,0,0,0.291191734440987,0,0,0,0.938337145355308,0.411813150887342,0,0.676438848237769,0,0,3.09623352586676,0,0,0,0,0,0,0,0
"Vascular-Endothelial_D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vascular-Endothelial_E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
