"","ATI","ATII","B","B_Plasma","Basal","Ciliated","Club","Dendritic_A","Dendritic_B","Dendritic_C","Dendritic_Langerhans","Dendritic_Plasmacytoid","Fibroblast","Goblet","Innate_lymphoid_A","Innate_lymphoid_B","Lymphatic-Endothelial","Macrophage","Macrophage_Alveolar","Mast","Mesothelial","Monocyte","Monocyte_Non-Classical","Myofibroblast","Mystery_Disease_Epithelial","NK","Pericytes","Smooth-Muscle","T","T_Cytotoxic","T_Regulatory","Vascular-Endothelial_A","Vascular-Endothelial_B","Vascular-Endothelial_C","Vascular-Endothelial_D","Vascular-Endothelial_E"
"ATI",0.400566161784759,0.147584552452034,0.0489034262877193,0.111327388277228,0.572098146181046,0.469205090035621,0.356989707842078,0.416333879775808,0.0600285205628637,0.067209583467675,0.174772064503761,0.189295007473228,0.27985340039858,0.545927806541688,0,0,0.164856414951512,0.297000144649513,0.18027173203712,0,0,0.303677413969615,0.225517585359896,0.725005693814539,0,0.0305756459478924,0,0.249344869122623,0.029903478526204,0,0,0.182809230672696,0.163431583388181,0.165018641312263,0.193944057039546,0
"ATII",0.420371495294626,0.164418874953732,0.0544768552264503,0.143448447790713,0.663539903034533,0.474453387412477,0.406402107608988,0.473433012310459,0.09156057660016,0.0963525735183549,0.151657057292446,0.206231825538089,0.312329623652232,0.623205421490694,0,0,0.153599614544681,0.318577248953877,0.117561429843904,0,0,0.342483291233362,0.240651048769464,0.812324144335952,0,0.0543832257293285,0,0.243090112861973,0.0329986534090851,0,0,0.17459053970536,0.150268848071196,0.115474571773386,0.156941891745757,0
"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B_Plasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Basal",0.965207767875894,0.75809375513595,0,0,1.28828444740866,0.359514196988017,1.28452659197766,0.454003196959388,0,0,0,0.275173502168267,0.365393963631121,0.995684007178658,0,0,0.372170059175945,0.148200342667973,0,0,0,0.172074658293623,0.154963585659628,1.54342384413453,0,0,0,0.348486197520322,0,0,0,0.349956818985813,0,0.15568834714225,0.270287823765473,0
"Ciliated",0.545719733999476,0.202460452758173,0.0671837360752473,0.234567618539548,0.781311874431515,0.41898341546533,0.558259197134328,0.802897988343748,0.152700718510413,0.157109355675153,0.247059638027989,0.346947200869064,0.372668400094619,0.689458128837845,0,0,0.23674736249365,0.596274092155883,0.211893665612623,0,0,0.606684902284239,0.473803661842679,0.900923476191293,0,0.101432526442335,0,0.259879580250521,0.0474237904032713,0,0,0.2717424635797,0.235265537667785,0.241811817112605,0.283322683001223,0
"Club",0.347935327173975,0.120803846675496,0.0399385124670383,0.0497726090273894,0.523970670730287,0.43834402436927,0.340154144457829,0.467385321067951,0.0371710843981222,0.0205825015135646,0.136193934354022,0.13726755263521,0.239637909855172,0.615110829377183,0,0,0.124984939208001,0.291197758422612,0.0979700512938413,0,0,0.348842555490234,0.255742668465532,0.681479059501243,0,0.0192201520828861,0,0.205150004934526,0.018460310649673,0,0,0.107289126174906,0.0978090656385004,0.140346559042255,0.117906308978903,0
"Dendritic_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
