"","ATI","ATII","B","B_Plasma","Basal","Ciliated","Club","Dendritic_A","Dendritic_B","Dendritic_C","Dendritic_Langerhans","Dendritic_Plasmacytoid","Fibroblast","Goblet","Innate_lymphoid_A","Innate_lymphoid_B","Lymphatic-Endothelial","Macrophage","Macrophage_Alveolar","Mast","Mesothelial","Monocyte","Monocyte_Non-Classical","Myofibroblast","Mystery_Disease_Epithelial","NK","Pericytes","Smooth-Muscle","T","T_Cytotoxic","T_Regulatory","Vascular-Endothelial_A","Vascular-Endothelial_B","Vascular-Endothelial_C","Vascular-Endothelial_D","Vascular-Endothelial_E"
"ATI",0.28284588678079,0.671926703797949,0.0606129690481902,0.0634103009057971,0.966692978674222,0.68013589598406,0.620718387840862,0.514567823395825,0.148918239495314,0.0995501575590596,0.112909399539556,0.275106734941317,0.517359376962271,0.678993403519385,0.16176268731008,0.269274788677726,0.171947263637946,0.594329719162698,0.32682003166659,0.0757614940784659,0,0.610111947199892,0.102355085464927,0.346991952629365,0.921152677942271,0.0461422919795761,0.26477823096206,0.148609622446608,0.142035717394575,0.0420730941042689,0.0471145541071381,0.137993729669581,0.265344168377706,0.0768806803565116,0.051620233808928,0.16697598085196
"ATII",0.290663508538787,0.625855859724781,0.0612501784902537,0.064412379720592,0.845174536887939,0.616135413396323,0.587239558650429,0.462889261361256,0.176893738389337,0.1283387683974,0.113099052524967,0.322563607255352,0.475300510017435,0.684888480746534,0.237011936744708,0.363790790570686,0.132527055841374,0.454898989293249,0.159778776802709,0.133147840116055,0,0.550258655909043,0.136837378552341,0.355907622542519,0.786476798169123,0.0448920218039944,0.262970371962088,0.167807505375481,0.158612635131622,0.0569827619135221,0.0459911007308035,0.0887189560453611,0.128391279518775,0.079639765186617,0,0.0842660272616614
"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B_Plasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Basal",0.600106119292177,1.069243078185,0,0,1.41942484355183,0.896394545220523,1.16643500015375,0.586163510004299,0.186872151929171,0.186824993248039,0,0.475575635820055,0.618227422539331,0.837449230225791,0.297069630555733,0.353940278354848,0.470659225026691,0.498147078122342,0.0248717076686306,0.257066344503962,0,0.877555085106748,0.202142481749425,0.630428617091748,1.13830209257408,0,0.268544964642743,0.386565003756639,0.156682176890641,0.147579044587821,0,0.344710938113154,0.0282961617468475,0,0,0.034372194102233
"Ciliated",0.161860584691132,0.332820792603413,0.0299627034198956,0.0328719285518068,0.453991464307407,0.326069509580227,0.305625152377884,0.312019960570601,0.0879804738912713,0.0696973622898267,0.051276206740694,0.195609292456867,0.372679830089651,0.340701303994784,0.16967667716935,0.233538301106974,0.112675585403019,0.263916698055432,0.0766027257059865,0.100509169062127,0,0.48501476297604,0.0775160836323722,0.195497708783428,0.569620065468672,0.0149131992685369,0.109995438249431,0.0796211395185237,0.0711618588941736,0.030437297115797,0.0159243518812013,0.0773639100759201,0.0911461700591356,0.0468811231805498,0.0206102587710629,0.0549928238128045
"Club",0.207351599315128,0.539471066236808,0.058665835552056,0.0618280367823943,0.819881999942606,0.612160186294809,0.467691390543951,0.438969201446316,0.0907949436342046,0.0928286148445321,0.0388892719104876,0.271577530358767,0.535575170140903,0.55471211384079,0.163155822389163,0.218593122274658,0.174668821716316,0.461996952371115,0.224528093383923,0.0757902551514982,0,0.542115379709266,0.095999402912034,0.342985907851531,0.782995246073383,0.0423076788657967,0.250048657271099,0.138433967432384,0.131002596504,0.037707716050232,0.0434067577926058,0.136286565925991,0.172529450577006,0.0770554222484193,0.0485001348468032,0.0793714092697614
"Dendritic_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_Langerhans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_Plasmacytoid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblast",0.523400460000091,0.834530556268859,0,0,0.991140360865834,0.816472983504204,0.701091754787034,0,0,0,0,0.581063052417534,0.930624416831304,0.846983851392084,0,0,0.52753369788053,0.490760355122664,1.00029674060186,0,0,0,0,0.760415349865909,1.49586662520294,0,0.576482342525825,0,0,0,0,0,0,0,0.544894217635382,0
"Goblet",0.193028731067269,0.622310450438159,0,0,0.882191184771636,0.481434503864973,0.693490520443853,0.555823135903615,0.148060170742743,0.148015786101678,0,0.253156453115068,0.346542932634656,0.562002337332949,0.251775444744214,0.305300760319852,0.238306187068375,0.516956799010292,0.136825440252432,0.214125293166076,0,0.816903605713347,0.162432245867689,0.281884170579503,1.05848071975735,0,0.0816870267085307,0.18552506694689,0.119646076588833,0.111078422656768,0,0.11752983775343,0.0891897928967713,0,0.0666126024600014,0.0977677209279038
"Innate_lymphoid_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Innate_lymphoid_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lymphatic-Endothelial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macrophage",0,0,0,0,0.249633699140022,0,0,0.158540501949717,0,0,0,0,0,0,0,0,0,0.140705506466351,0.111321881497862,0,0,0.327744550156478,0,0,0.331357923183922,0,0,0,0,0,0,0,0.125019697810729,0,0,0.149323827232271
"Macrophage_Alveolar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mast",0,0,0,0,2.14948139029759,0,0,1.96729499591698,0,0,0,0,0,0,0,0,0,1.93162500495025,1.87285775501327,0,0,2.3057030923305,0,0,2.31292983838539,0,0,0,0,0,0,0,1.900253387639,0,0,1.94886164648209
"Mesothelial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monocyte_Non-Classical",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myofibroblast",0.27060053218825,0.342668158683604,0.053831129424842,0.0576590572299883,0.538980054334352,0.409658936813992,0.302528635703713,0.315198589086162,0.116444053596596,0.0780006644301924,0.0962817324035035,0.260010113881603,0.494108481346614,0.419265931909328,0.163133599878956,0.252029555836689,0.177070388538141,0.332183931870386,0.143198946185241,0.0745606899925877,0,0.405725619914676,0.0818389868276947,0.329266425655724,0.547134654192526,0.0340291502783175,0.174427371667903,0.116021735529946,0.107025865458743,0.0284607742384234,0.0353596142423496,0.0870828075178667,0.0980877270981088,0.0760922080572817,0.0415252812026938,0.067545100947231
"Mystery_Disease_Epithelial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pericytes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smooth-Muscle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T_Cytotoxic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T_Regulatory",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vascular-Endothelial_A",0.771830321658392,0.892543088649665,0,0,0.764247758648071,0.839901160753209,0.766926107105317,0,0,0,0,0,1.41502903589763,0.478142395271243,0,0,1.02151384253059,0,0,0,0,0,0,1.21398813049683,0.711918600171268,0,0.482542481506731,0.365923286016777,0,0,0,0.685651744094494,0,0,0,0
"Vascular-Endothelial_B",0.424342721975581,0.622542945246126,0,0,1.08332115886763,1.0857347973056,0.419101391147463,0.126702323676977,0,0,0,0.480650551833083,0.575799204294354,0.787729854411941,0,0.166357349419301,0.407149835708479,0.10493389573506,0.100510639703202,0,0,0,0.109366821959273,0.158448615613205,0.975695066955923,0,0.27217149802349,0,0.117083626040594,0,0,0.263208936378722,0.122159342432843,0,0,0
"Vascular-Endothelial_C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vascular-Endothelial_D",0,0,0,0,0.520411695273509,0,0,0.178186855953065,0,0,0,0,0,0.357559521239802,0,0,0,0.404426160894034,0.431840504592591,0,0,0.347390904159826,0,0,0.35100427718727,0,0,0,0,0,0,0,0.144666051814077,0,0,0.168970181235619
"Vascular-Endothelial_E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
