"","Aberrant_Basaloid","ATI","ATII","B","B_Plasma","Basal","cDC1","cDC2","Ciliated","Club","cMonocyte","DC_Langerhans","DC_Mature","Fibroblast","Goblet","ILC_A","ILC_B","Ionocyte","Lymphatic","Macrophage","Macrophage_Alveolar","Mast","Mesothelial","Myofibroblast","ncMonocyte","NK","pDC","Pericyte","PNEC","SMC","T","T_Cytotoxic","T_Regulatory","VE_Arterial","VE_Capillary_A","VE_Capillary_B","VE_Peribronchial","VE_Venous"
"Aberrant_Basaloid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATI",0,0,0.114155694830241,0,0,0.0631087271841842,0,0,0.0735438005615473,0.0725309078677639,0,0,0,0,0.0662115605303692,0,0,0,0,0.14865589430286,0,0,0.0639483693638485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATII",0,0.1552967448975,0.579654586981579,0,0,0.556789866848497,0,0,0.633912434734087,0.577533587586519,0,0,0,0.665793914176279,0.689953116345457,0,0,0,0,0.50629029788722,0.244629261041029,0,0.566778906011017,0.733476294626611,0,0.0628341464505215,0,0,0,0,0.0634286957045669,0.0610210885867213,0.116733247557771,0,0,0,0,0
"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B_Plasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Basal",0,0,1.55918377159947,0,0,1.94513210067587,0,0,1.88754781447981,1.94662263887956,0,0,0,0.980565412406159,2.53536303842078,0,0,0,0,0.101423276535864,0,0,1.09554028829047,1.47268705100954,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cDC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cDC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ciliated",0,0.152203225441203,0.521380982539786,0,0.112516009196107,0.408780059290743,0,0,0.504465214445973,0.384915897038242,0,0,0,0.516339065105407,0.496040661133271,0,0,0,0,0.539969602940742,0.185064006494243,0,0.565636312253218,0.540130320745004,0,0.0385691475471259,0,0,0,0,0.0391161328608476,0.0369011343124297,0.0689180533784418,0,0,0,0,0
"Club",0,0.235396580093369,0.694270631903189,0,0.16893887104265,0.618517185070676,0,0,0.832608023377397,0.649912066581441,0,0,0,0.677835266862211,0.691168282657387,0,0,0,0,0.629835194741132,0.317753681415294,0,0.606199039067196,0.750334188386915,0,0.0652424169877079,0,0,0,0,0.0658369662417533,0.0634293591239077,0.121549788632144,0,0,0,0,0
"cMonocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DC_Langerhans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DC_Mature",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblast",0,0.629810010547034,1.44126935465478,0,0.559977533951125,1.04391573608155,0,0,0.993173840947021,1.09384584921312,0,0,0,1.50416906382609,1.14747361864578,0,0,0,0,0.58353671904461,1.7578138041452,0,0,1.25433974624247,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goblet",0,0.0984291877874161,0.927888890029885,0,0.077890224082737,0.700480405961704,0,0,0.721260490306755,0.744413017664572,0,0,0,0.371539563681861,0.81765694229017,0,0,0,0,0.882839571844648,0.0824753651046237,0,0.879467637196606,0.465209303664066,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ILC_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ILC_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ionocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lymphatic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macrophage",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284105214684814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macrophage_Alveolar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mast",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mesothelial",0,0.58960124105999,0.879836789140523,0,0.539720900634341,0.78561579855928,0,0,1.33196060395264,0.786283493971394,0,0,0,1.60342822466562,1.43699234565576,0,0,0,0,2.32155356862303,0.550856243116066,0,1.83670357717884,1.24288535249467,0,0,0,0,0,0,0,0,0,0,0,0,0,0
