"","Aberrant_Basaloid","ATI","ATII","B","B_Plasma","Basal","cDC1","cDC2","Ciliated","Club","cMonocyte","DC_Langerhans","DC_Mature","Fibroblast","Goblet","ILC_A","ILC_B","Ionocyte","Lymphatic","Macrophage","Macrophage_Alveolar","Mast","Mesothelial","Myofibroblast","ncMonocyte","NK","pDC","Pericyte","PNEC","SMC","T","T_Cytotoxic","T_Regulatory","VE_Arterial","VE_Capillary_A","VE_Capillary_B","VE_Peribronchial","VE_Venous"
"Aberrant_Basaloid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATI",0,0.687116377206337,0.678125489681829,0,0.138696859054975,0.532531350801324,0,0,0.704564677310355,0.467923378807713,0,0,0,0.495994243389483,0.967473963788541,0,0,0,0,0.665120751156527,0.503766168286242,0.286226378322083,0,0.377744445446186,0,0.0821028968100531,0,0,0,0,0,0,0.220370186585983,0,0,0,0,0
"ATII",0,0.484802589219066,0.530488267969755,0,0.0928723144659187,0.506118802902809,0,0,0.512174531837575,0.369168264879021,0,0,0,0.400900546580152,0.750596328670499,0,0,0,0,0.455374183709928,0.227529545809816,0.283682199267595,0,0.331142301197,0,0.130038650828518,0,0,0,0,0,0,0.153240965094162,0,0,0,0,0
"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B_Plasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Basal",0,1.57280434334884,2.26700724385362,0,0,2.07503438379546,0,0,2.10222774277412,2.29585954853381,0,0,0,0.876080297133019,2.7680933545034,0,0,0,0,0,0,0,0,0.997052371234359,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cDC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cDC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ciliated",0,0.397770718611044,0.424047497103939,0,0.0674331031747138,0.438615159469687,0,0,0.438054211853508,0.29461123835387,0,0,0,0.323804937518911,0.533633090285403,0,0,0,0,0.438414004639194,0.209902350600835,0.24200947923278,0,0.277636777900343,0,0.127671553869726,0,0,0,0,0,0,0.113967548685732,0,0,0,0,0
"Club",0,0.513512318828077,0.482990801343645,0,0.04797355069967,0.520943629160043,0,0,0.56516681571191,0.393876308641078,0,0,0,0.381323531528079,0.785728224985733,0,0,0,0,0.471376579122452,0.33034384126356,0.173992424561422,0,0.293977143032304,0,0.0657958594352276,0,0,0,0,0,0,0.168065791351396,0,0,0,0,0
"cMonocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DC_Langerhans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DC_Mature",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblast",0,0.614061172260987,0.668589752345496,0,0.3364169345851,0.617702283827706,0,0,0.548772845301936,0.661096394929185,0,0,0,0.832683354514887,0.633826781153962,0,0,0,0,0.310663454515729,0.687143695372905,0,0,0.690840996951884,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goblet",0,0.346074917260003,0.262439972188866,0,0,0.403728615261921,0,0,0.270051049155826,0.221267263053176,0,0,0,0.125894004212274,0.461323081645058,0,0,0,0,0.308265822828371,0.165417604163335,0.153303153505272,0,0.182822039083493,0,0.102518006581056,0,0,0,0,0,0,0,0,0,0,0,0
"ILC_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ILC_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ionocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lymphatic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macrophage",0,0.444391284474831,0,0,0,0,0,0,0,0,0,0,0,0,0.386140269971934,0,0,0,0,0.115875339358765,0.278574941734305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macrophage_Alveolar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mast",0,0.413546759203412,0,0,0,0,0,0,0,0,0,0,0,0,0.355295744700515,0,0,0,0,0.0850308140873458,0.247730416462886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mesothelial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myofibroblast",0,0.757043505276381,0.739860025090346,0,0.165662034365411,0.484398061676998,0,0,0.60592371958146,0.579982033830745,0,0,0,0.618394795890009,0.949489566871602,0,0,0,0,0.695621962498642,0.438229019158389,0.343410866915846,0,0.480712950414264,0,0.100284498727269,0,0,0,0,0,0,0.178048436645152,0,0,0,0,0
"ncMonocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pDC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pericyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PNEC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T_Cytotoxic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T_Regulatory",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VE_Arterial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VE_Capillary_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VE_Capillary_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VE_Peribronchial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VE_Venous",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
