"","Aberrant_Basaloid","ATI","ATII","B","B_Plasma","Basal","cDC1","cDC2","Ciliated","Club","cMonocyte","DC_Langerhans","DC_Mature","Fibroblast","Goblet","ILC_A","ILC_B","Ionocyte","Lymphatic","Macrophage","Macrophage_Alveolar","Mast","Mesothelial","Myofibroblast","ncMonocyte","NK","pDC","Pericyte","PNEC","SMC","T","T_Cytotoxic","T_Regulatory","VE_Arterial","VE_Capillary_A","VE_Capillary_B","VE_Peribronchial","VE_Venous"
"Aberrant_Basaloid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATI",0,0.422523750204807,0.351339375020704,0,0.0571465385485662,0.150432339930211,0,0,0.341503132525603,0.277023819494085,0,0,0,0.363747497611091,0.298033771057097,0,0,0.243223756471461,0,0.228278525119151,0.193583990699002,0.0951283847375022,0.350250071388396,0.286315683770713,0,0.038073146078966,0,0,0,0,0,0.0165153508001619,0.0369429748174509,0,0,0,0,0
"ATII",0,0.540186828363193,0.503748803004574,0,0.0914928279486683,0.205910473576566,0,0,0.399974601321835,0.390181264315709,0,0,0,0.456013478499251,0.434729008874036,0,0,0.301840987339766,0,0.222649052273136,0.152652151999523,0.134428827988335,0.406566233118899,0.359517731831046,0,0.0520033396335652,0,0,0,0,0,0.0276336580140475,0.0596898857518039,0,0,0,0,0
"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B_Plasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Basal",0,1.11715525460968,1.04695636167978,0,0.241920746176397,0.884201413730819,0,0,0.819952962796058,1.05303302739917,0,0,0,0.545755315152846,1.03721171594502,0,0,0.301133853619782,0,0.142324741524722,0.0539546295667449,0,0.801094627188477,0.714534604162453,0,0,0,0,0,0,0,0,0.213516856185658,0,0,0,0,0
"cDC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cDC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ciliated",0,0.406013672518534,0.270095169054121,0,0.0411300187214085,0.132046458368619,0,0,0.247430885397356,0.212997255083693,0,0,0,0.347793428567034,0.206089368315467,0,0,0.234650325361219,0,0.23096693375648,0.119584377716208,0.125498766726828,0.321473097366181,0.273365135962741,0,0.0760783299840628,0,0,0,0,0,0.0312381158041502,0.0262191062307487,0,0,0,0,0
"Club",0,0.518284727138506,0.411350167423024,0,0.0807180103556883,0.191544050119259,0,0,0.411151732469079,0.312983331239821,0,0,0,0.438055449177618,0.358085682417422,0,0,0.291066169746787,0,0.298694610502575,0.210930968336755,0.123654010395355,0.376858656404859,0.345151308373739,0,0.0484117337692385,0,0,0,0,0,0.0240420521497208,0.0525066740231505,0,0,0,0,0
"cMonocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DC_Langerhans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DC_Mature",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblast",0,0.683734091849717,0.513795199346228,0,0.792512748714049,0.478043081563886,0,0,0.611667408131894,0.641600233573522,0,0,0,1.15280452355331,0.5744461123739,0,0,0.513609616881137,0,0.394546948551845,1.23009338152772,0,0,0.951113871501939,0,0,0,0,0,0,0,0,0.373422420986538,0,0,0,0,0
"Goblet",0,0.506260424683865,0.326262900179173,0,0.0394859912965325,0.193017585749187,0,0,0.282007575817073,0.284338463110376,0,0,0,0.233801816182615,0.265247959396876,0,0,0.0673509830345963,0,0.292095832146817,0.118382405803653,0.11929440864409,0.362418836934152,0.24799524000153,0,0.112575067122655,0,0,0,0,0,0.0466335756816069,0.0261194548303026,0,0,0,0,0
"ILC_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ILC_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ionocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lymphatic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macrophage",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203713437900311,0.206899768496483,0,0.300150731457975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macrophage_Alveolar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mast",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502909904319437,0.506096234915609,0,0.599347197877101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mesothelial",0,1.79498825328752,1.362163545262,0,0.446082111122279,0.929673294634288,0,0,0.986692302069658,1.00122983103115,0,0,0,1.26817953239061,0.958943316686395,0,0,0.513754233914719,0,1.85948686130014,0.879381943215283,0.503482706924303,1.51483853319301,1.01732656548323,0,0.495323506505417,0,0,0,0,0,0.415251695469859,0.413620522561435,0,0,0,0,0
"Myofibroblast",0,0.49089465994667,0.474752322962166,0,0.118295094041193,0.208681383012969,0,0,0.35617089994181,0.366510445932651,0,0,0,0.564584012916927,0.388524712958495,0,0,0.372927076461996,0,0.373721051016535,0.292339773391094,0.170270251983948,0.563023887396511,0.445259832845533,0,0.0654649505031456,0,0,0,0,0,0.0359648095953083,0.0772832562245801,0,0,0,0,0
"ncMonocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
