"","Aberrant_Basaloid","ATI","ATII","B","B_Plasma","Basal","cDC1","cDC2","Ciliated","Club","cMonocyte","DC_Langerhans","DC_Mature","Fibroblast","Goblet","ILC_A","ILC_B","Ionocyte","Lymphatic","Macrophage","Macrophage_Alveolar","Mast","Mesothelial","Myofibroblast","ncMonocyte","NK","pDC","Pericyte","PNEC","SMC","T","T_Cytotoxic","T_Regulatory","VE_Arterial","VE_Capillary_A","VE_Capillary_B","VE_Peribronchial","VE_Venous"
"Aberrant_Basaloid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATI",0,0.481370936238229,0.419840085893115,0.0187188443971269,0.065742793013064,0.348446948792905,0,0,0.32880102691686,0.287735856019951,0,0,0,0.238147765978058,0.342824294618025,0,0,0,0,0.286914147542077,0.327963446982818,0.138973914916005,0.204327829530696,0.176576341576246,0,0.0869062684058934,0,0,0,0,0.0492386561925677,0.0664618403353538,0.0220719973471888,0,0,0,0,0
"ATII",0,0.456882386130922,0.40903384484707,0.0108481273204705,0.0536933289752482,0.270206516073187,0,0,0.248837619177918,0.249796596501325,0,0,0,0.207336685204462,0.320889054382385,0,0,0,0,0.195381712077273,0.165291992239278,0.203531969701657,0.151466992908788,0.148046510922174,0,0.143484848116117,0,0,0,0,0.0734919145165523,0.088557705410585,0.0146386480466274,0,0,0,0,0
"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B_Plasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Basal",0,0.479205052694527,0.446997025637614,0,0.0839926696929202,0.606157433450045,0,0,0.333540100653338,0.343221329989308,0,0,0,0.233077485774824,0.382207061347236,0,0,0,0,0.238644037422194,0.209090344453523,0.182854141939278,0,0.256364223468523,0,0.120142762050094,0,0,0,0,0.0413328176446545,0.0583194962452532,0,0,0,0,0,0
"cDC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cDC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ciliated",0,0.231544881945035,0.179781976542243,0.00444461587164357,0.0383265401308497,0.157925636104248,0,0,0.144091493567339,0.102891482621578,0,0,0,0.15753578280897,0.173793095374179,0,0,0,0,0.159659533417188,0.176308554823329,0.140289346387977,0.122363048903713,0.108524483732454,0,0.0961173170556589,0,0,0,0,0.0317238181440593,0.04004868450338,0.00793189493970792,0,0,0,0,0
"Club",0,0.334047430482911,0.289291464748923,0.011408463154617,0.0548140006435411,0.257112704097996,0,0,0.256142938401362,0.186500806458889,0,0,0,0.210698700209341,0.253373609039505,0,0,0,0,0.197100106533465,0.224532020367422,0.118093068727812,0.172467467703628,0.150848190092907,0,0.0787379293484788,0,0,0,0,0.0361571503247192,0.045874867104864,0.0151989838807739,0,0,0,0,0
"cMonocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DC_Langerhans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DC_Mature",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblast",0,0.159659195222639,0.17863902417941,0,0.101747772461132,0.269756112705564,0,0,0.182935001039184,0.216473355449487,0,0,0,0.378811933493765,0.282962989092408,0,0,0,0,0.122683314449047,0.381370949367947,0,0.263892721382136,0.326031206708807,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goblet",0,0.349356632167508,0.310095743346005,0,0.00880195859945813,0.312239829492311,0,0,0.184788458517538,0.18265082227837,0,0,0,0.113184889382194,0.299042976856881,0,0,0,0,0.275329962213398,0.276586347818901,0.180863243936564,0.0441517620454085,0.096926936396954,0,0.121840768746743,0,0,0,0,0.0476667034239763,0.0636541656363046,0,0,0,0,0,0
"ILC_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ILC_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ionocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lymphatic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macrophage",0,0,0,0,0,0.186964738449513,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26243783959818,0.541842271831501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macrophage_Alveolar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mast",0,0,0,0,0,0.498600642575641,0,0,0,0,0,0,0,0,0,0,0,0,0,0.574073743724307,0.853478175957629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mesothelial",0,0.437610029088223,0.57462967207862,0,0.165712881277582,0.618047464375763,0,0,0.393196447418776,0.409679264314819,0,0,0,0.563550980714553,0.295152321728494,0,0,0,0,0.700024002752946,0.605575639401062,0.330204763725608,0.395899100039503,0.476638608980104,0,0.258534615280826,0,0,0,0,0.168466107388895,0.187879454361008,0,0,0,0,0,0
"Myofibroblast",0,0.294631865754962,0.20754542750031,0.0139396859762327,0.0666126724624163,0.151955979786932,0,0,0.128888041915529,0.122718007835932,0,0,0,0.255832967935171,0.160058993664611,0,0,0,0,0.158458387957609,0.1797331546613,0.143472531826769,0.127575681222484,0.171687440808631,0,0.0955732177368144,0,0,0,0,0.0440280641817371,0.0559210571783456,0.0185282110657911,0,0,0,0,0
"ncMonocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pDC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pericyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
