0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000
0.2251047,0.0005427925451111314,1.5235306511829227e-06,3.426717261012839e-08,4.302623705968529e-11,6.575612128804911e-15,4.510973810915834e-19,5.597620133782216e-23,2.216385358383379e-25,1.4836022650424712e-25,1.654368856153913e-26,3.882936626274212e-30,1.429549620602897e-31,5.905453019468033e-33,4.928130038563942e-38,6.901739280859809e-42,1.1155638642347875e-41,9.123946062659307e-43,2.638905010149401e-44,6.684458339336389e-47,1.2462072642131708e-47
0.008313087,0.0011958529171552015,4.869211156301167e-06,4.160197391873701e-11,7.358879698557856e-12,4.340466858335053e-12,6.608050525599801e-16,2.450765621904958e-21,4.1109175722922077e-20,1.0316141867790596e-21,4.066104275660394e-24,1.2126628070793486e-26,5.422194509185137e-33,1.662256930558652e-38,4.40306102398769e-39,1.423395737497481e-44,6.210883645226553e-48,9.31950947542991e-52,2.100589186302878e-54,2.2415270755373747e-60,1.2041665414887124e-66
0.1090238,0.3653456037881019,0.033648205433000906,0.0037241320432498657,0.0006453018822722803,0.00010405135861643085,2.2997378297901137e-06,5.365336194557292e-07,2.28538998718435e-10,2.4404391701143163e-11,8.24918704251004e-12,3.923322659338028e-12,4.624581056110508e-12,1.473025916650823e-12,1.1940712242557023e-13,3.206920750453461e-14,2.1357047483021276e-14,6.636699004243928e-17,3.0475251246210044e-18,1.3717373633713178e-18,2.9890147078196443e-19
0.05869812,0.630142274948075,0.19581757919539997,0.24884639258680225,0.008448690784334538,0.0006828612934235167,5.028537515740652e-05,7.300991109422377e-07,1.3444736908020926e-07,4.465948583361825e-09,2.0246376378951893e-09,4.618727809777716e-10,2.065737977348281e-10,2.1147863816142092e-10,7.988051579204117e-11,2.910716969324446e-13,7.596226235529241e-15,6.4341113619074415e-16,1.28098014023628e-16,1.1681537002606188e-17,6.195529830531527e-20
2.487564e-08,6.212089889977883e-14,5.206863105946755e-30,9.613211877281631e-48,5.407367050750402e-69,1.399449168357699e-85,2.614105553079106e-102,2.551507894957671e-123,2.2411192800282087e-141,8.357320975195682e-154,3.445182670220112e-167,3.2911544251228583e-184,1.5293422787699998e-198,1.3523012345860545e-214,1.0809947086297464e-231,2.834567853952265e-251,3.15776230491177e-267,1.934318317789227e-287,4.951153270821023e-302,3.6641e-319,0.0
4.340129e-07,6.73325262464236e-12,2.9712975957310214e-26,4.393654418598295e-42,2.0028094057659615e-63,4.2084098050840153e-79,1.441276781319818e-97,8.978169109836029e-117,4.705443032573637e-134,6.916128196029443e-147,2.8123941691484903e-159,4.1414672416766854e-176,2.3564675611254892e-192,3.9095232154788526e-206,5.532604220304367e-223,2.8499876255697505e-243,4.22045698448719e-255,3.631270329891641e-273,5.341518851778778e-286,1.706035980447428e-301,8.8e-322
2.310927e-06,1.4203630411984444e-12,7.589358433725111e-26,5.544785321018545e-41,1.002642841909681e-61,2.376854442598209e-76,1.2129815810718832e-92,1.2383846921856748e-110,2.0152992371672025e-126,1.160444340455253e-138,2.6437453889382064e-150,6.878347799085544e-166,3.0836165519922987e-179,3.9300704351736456e-193,6.868009189555331e-208,1.807667382929646e-226,7.760779595709298e-240,1.299937802546514e-256,3.660309801118215e-269,8.039295708455845e-286,2.7419158474538945e-302
1.101391e-07,6.841169254709512e-16,8.683496228612355e-29,6.722846176948744e-39,3.898288262310656e-53,1.661502455165887e-63,1.6800353298253842e-76,2.622927723674108e-90,1.6719419207283273e-101,2.9325390252920496e-112,9.440221566776537e-123,5.513316377023529e-134,2.231523558728028e-144,1.0802956288650333e-154,1.2185726225216382e-167,7.603486928089184e-181,3.6278132654134055e-191,2.1378329759372493e-203,2.265763594544443e-214,4.826372306831624e-227,6.747314427954527e-241
1.099475e-06,6.246096895765671e-12,2.141666883525788e-21,2.5332253376590096e-33,2.0402715422426153e-43,2.0564749205586397e-51,3.43235655294869e-57,7.637575285081134e-66,7.119225730226165e-74,1.4473520230011563e-83,1.5886510988685858e-87,1.0695497110007061e-92,4.0608724075801436e-104,1.8514303833712237e-115,5.448869911763954e-126,3.1747080725797155e-138,1.3326381982399267e-148,2.5317722126741307e-154,1.0100213008028927e-164,2.014753531293606e-173,1.4136232096533714e-185
0.0006649332,3.543947097517764e-10,4.4914571863866694e-10,2.630378647698723e-15,8.858359774572774e-25,1.0806873165474789e-30,3.090233231331915e-35,7.972274103921805e-43,5.921463012427748e-44,9.409941924127157e-48,1.9663369371442408e-51,3.8407312366525847e-60,4.99240535011406e-67,4.8066327860909286e-73,2.4335836470943536e-80,4.3764271106527435e-86,6.159561676729642e-91,2.7232850083651254e-99,2.5969695559905307e-105,2.2206787946696413e-108,4.1075697322301767e-110
9.597739e-07,3.510953392604924e-20,6.420114830624204e-32,5.852656025062896e-52,2.5862174258285447e-71,4.432812699939802e-89,6.242796676290758e-106,1.427500972664767e-121,4.291651085110257e-136,7.33206082175492e-142,9.684215611643858e-152,2.465061720025591e-170,6.63929342196005e-183,3.8207363352050577e-200,1.6782921530068007e-213,6.021976097594431e-231,1.8319784440423804e-246,1.2411266477991404e-261,8.620159823840304e-281,5.522279784493945e-302,1.7075e-320
1.913287e-10,2.1731304974054036e-20,3.435858876201483e-43,3.158738466617662e-64,2.2472669773066877e-82,3.1749116206691276e-105,5.939901513422211e-125,3.071483947944377e-150,9.254096924736908e-172,4.518939047553619e-191,2.8723602796566013e-213,5.081706778273726e-242,2.824498882677117e-262,9.167316620561526e-279,9.017482194511263e-304,3e-323,0.0,0.0,0.0,0.0,0.0
0.0001023827,9.35065256141743e-09,2.128274946594465e-17,6.708515250674222e-27,1.0375286048436976e-39,9.417187802405919e-50,9.51964203552634e-58,7.906238030698923e-66,4.5833304504620066e-71,8.959329116297931e-82,2.144517563517434e-83,8.749374653396416e-95,7.15845642755508e-105,2.9034153236566564e-111,1.1219509918028519e-119,3.0304687271816517e-130,1.7494711685534434e-139,7.600284619889975e-152,4.667550438860258e-163,3.3363344934594967e-174,1.0471131690066772e-188
