"","ATI","ATII","B","B_Plasma","Basal","Ciliated","Club","Dendritic_A","Dendritic_B","Dendritic_C","Dendritic_Langerhans","Dendritic_Plasmacytoid","Fibroblast","Goblet","Innate_lymphoid_A","Innate_lymphoid_B","Ionocyte","Lymphatic-Endothelial","Macrophage","Macrophage_Alveolar","Mast","Mesothelial","Monocyte","Monocyte_Non-Classical","Myofibroblast","Mystery_Disease_Epithelial","Neuroendocrine","NK","Pericytes","Smooth-Muscle","T","T_Cytotoxic","T_Regulatory","Vascular-Endothelial_A","Vascular-Endothelial_B","Vascular-Endothelial_C","Vascular-Endothelial_D","Vascular-Endothelial_E"
"ATI",0.55722770264253,0.521772761303735,0.0633155045275104,0.0329667218101626,0.664055367892744,0.432907366660722,0.394910868273424,0.0300916169710806,0,0,0,0,0.460046364909849,0.43486785760292,0.0381375515375265,0.201145686286382,0,0.198791596931207,0.0554139716525942,0.0777296769318044,0.12818392563338,0,0.0400439321851797,0,0.545008579323608,0,0,0,0.589674789804247,0.515825180324645,0.0742814425540542,0,0.276835132284686,0.415484897966335,0.739854511187534,0.504691615286888,0.450242256994623,0
"ATII",0.303148315782737,0.224479050620904,0,0,0.297322771378558,0.188072132108443,0.129710489567361,0,0,0,0,0,0.278105599868152,0.15175713626132,0,0,0,0,0,0,0,0,0,0,0.314100614204313,0,0,0,0.242548299544948,0.268988344285847,0,0,0,0.207340054420604,0.453374134128327,0.304864117818256,0.246699137121937,0
"B",0.566175543669968,0.425494156878872,0,0,0.497236529027895,0.300237165779343,0.252973054816996,0,0,0,0,0,0.508206868971159,0.255524530008913,0,0,0,0,0,0,0,0,0,0,0.745185326360379,0,0,0,0.861928158208761,0.741016025989009,0,0,0,0.346893582220409,1.12160904433783,0.503251164461414,0.505872354045328,0
"B_Plasma",0.253580653597241,0.113089524057184,0,0,0.157622279683378,0.0679387034639704,0.0339476269028561,0,0,0,0,0,0.13812355710147,0.0475868644478683,0,0,0,0,0,0,0,0,0,0,0.212995398917751,0,0,0,0.173939259062454,0.196632866010628,0,0,0,0.110009265500894,0.295468915319763,0.173965227978823,0.119418537355794,0
"Basal",0.684230850868539,0.605157550748325,0,0.129585001999751,0.696584618991968,0.524129107621917,0.493525462734557,0,0,0,0,0,0.611017971185244,0.53264714700517,0,0.222309372302624,0,0.202387201924658,0,0,0,0,0,0,0.619411221291375,0,0,0,0.656162415809508,0.570417189822088,0,0,0.249510096295354,0.520602387783238,0.783784863753731,0.548447274129687,0.531837143053585,0
"Ciliated",0.943620313115317,0.754985042818237,0,0.0742289228091114,1.07707464841436,0.719116099213425,0.506862918972512,0,0,0,0,0,0.729653664060261,0.767212241908512,0,0.47343566944831,0,0.292553386974118,0,0,0,0,0,0,1.01259963328947,0,0,0,1.14406342187749,1.11591470513598,0,0,0.457483517271553,0.635006856890658,1.43040274278839,0.78879037495498,0.864822396412242,0
"Club",0.802654730923199,0.719309426538819,0,0.101594041003525,0.814625062510473,0.507146460247009,0.42901594291821,0,0,0,0,0,0.706463280481053,0.542871310214177,0,0.266049560862101,0,0.117072279750003,0,0,0,0,0,0,0.792888811479442,0,0,0,0.794684616646566,0.737395139481794,0,0,0.344097979698297,0.513956002852751,0.931433265429952,0.687807582028481,0.624356052152596,0
"Dendritic_A",0.318042374393002,0.217005097034994,0,0,0.240129909721757,0.168338345750205,0.147150985663636,0,0,0,0,0,0.205447357098391,0.153590991490727,0,0,0,0,0,0,0,0,0,0,0.248793947574642,0,0,0,0.137306489914134,0.196069114615859,0,0,0,0.14090020145126,0.300400959452274,0.222897130920082,0.158361211381828,0
"Dendritic_B",0.296699963429504,0.166223921162903,0,0,0.185590171523274,0.119058857836097,0.0961372234502655,0,0,0,0,0,0.163533430090241,0.103652010930114,0,0,0,0,0,0,0,0,0,0,0.235817360005511,0,0,0,0.163584916617918,0.171104039118311,0,0,0,0.115935125953712,0.357698290155725,0.225920156173085,0.128060290448908,0
"Dendritic_C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_Langerhans",0.323388118704866,0.26251531378497,0,0,0.203153642377438,0.210844048899262,0.196991951777101,0,0,0,0,0,0.180761026130519,0.188296052256703,0,0,0,0,0,0,0,0,0,0,0.227850859392311,0,0,0,0.170440716467643,0.169705541446223,0,0,0,0.135753300056349,0.333535186005783,0.202725743056572,0.184129144710141,0
"Dendritic_Plasmacytoid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblast",1.49330031596846,1.15751484592259,0,0,1.20281801561716,1.00006821329204,0.614355884197636,0,0,0,0,0,1.19829473403571,0.812085752714568,0,0,0,0,0,0,0,0,0,0,1.76451965276371,0,0,0,1.45570251456997,1.69773488380609,0,0,0,1.08173380566662,2.13504072823198,1.26946243903398,1.250905993453,0
"Goblet",0.423394811665528,0.316463238817867,0,0,0.402144478473665,0.292633313781489,0.227949257904544,0,0,0,0,0,0.435673320971858,0.255591631159911,0,0,0,0,0,0,0,0,0,0,0.448504807218979,0,0,0,0.522769244950757,0.491106788742243,0,0,0,0.417548237856111,0.680282741766174,0.509209684641121,0.423196401052992,0
"Innate_lymphoid_A",0.472233864028021,0.39261326903342,0.31829846788231,0.0435306758799899,0.426834409813344,0.301669691580188,0.292776473216538,0.0868994998302827,0,0,0,0,0.281874906186779,0.332695373363311,0.111813733674823,0.245455745689074,0,0.159371676466289,0.103506634696634,0.149291796083595,0.482882909847721,0,0.148566204632143,0,0.354894949586794,0,0,0,0.465506393902343,0.414510956948827,0.217041225369892,0,0.213114518105374,0.214694285771731,0.511312393534618,0.335797842383853,0.334892529252135,0
"Innate_lymphoid_B",0.599937116245722,0.523407139627836,0,0.029261932267046,0.546838911398603,0.402224540966738,0.361334250189455,0,0,0,0,0,0.38461125933558,0.360613557025182,0,0.264305775013003,0,0.0556156616925402,0,0,0,0,0,0,0.538656932325964,0,0,0,0.530893167355551,0.436518703884324,0,0,0.16556908189083,0.358464625460815,1.05831626664412,0.520997050748673,0.448145014046485,0
"Ionocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lymphatic-Endothelial",0.435462141571509,0.302618171771921,0,0,0.43825001526778,0.231324034019637,0.207272497265065,0,0,0,0,0,0.359108441227831,0.274643986752493,0,0,0,0,0,0,0,0,0,0,0.549116299765108,0,0,0,0.441675872757571,0.635293467871882,0,0,0,0.419964513234147,0.848360674530258,0.435659413380204,0.671853193684582,0
"Macrophage",0.66594762185052,0.657601028048189,0.0690610472344275,0.0244978806365046,1.00524746153272,0.474220710145779,0.41588476329007,0.0145871512576493,0,0,0,0,0.483115549904232,0.500221958390199,0.0347924264281372,0.178446997466034,0,0.164749004951133,0.042831851369685,0.0476674012931488,0.129809147156582,0,0.0304881383442571,0,0.652044754257933,0,0,0,0.616833108348018,0.605401837539817,0.0639757743082081,0,0.164380142571703,0.41523511633143,0.947707705192166,0.577231826876354,0.458259022435465,0
"Macrophage_Alveolar",0.447664438654757,0.281846287573087,0,0,0.511388775985201,0.198817560517508,0.0805390420028126,0,0,0,0,0,0.391214324885111,0.150639158520741,0,0,0,0,0,0,0,0,0,0,0.532483824670486,0,0,0,0.286460867930223,0.406630758147499,0,0,0,0.282104254050096,0.7268159356832,0.430665987438499,0.295800252478448,0
"Mast",0.345809623508434,0.28848499101701,0,0,0.213431143738867,0.190680511711186,0.176485657450105,0,0,0,0,0,0.222008688460062,0.166999221609671,0,0,0,0,0,0,0,0,0,0,0.303575866802641,0,0,0,0.268457699923669,0.304560546785093,0,0,0,0.154216462750153,0.4323290346864,0.271774030004246,0.228903296907627,0
"Mesothelial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monocyte",0.885071761025782,0.834540733714212,0.0762435098004412,0.053871474623544,1.02940001622245,0.707619513792877,0.621174920072714,0.0381944042580676,0,0,0,0,0.630616059444478,0.704523725230426,0.0464639280979094,0.245193987861506,0,0.290218592255523,0.0810944977173584,0.0867359726280661,0.14314800620775,0,0.0739345713563796,0,0.685551174262786,0,0,0,0.682272099426894,0.705664789307657,0.101324579651479,0,0.251674650788638,0.472012302022736,0.90573307569503,0.653666314289393,0.503383203486635,0
"Monocyte_Non-Classical",0.591154598196805,0.485783554177279,0.102267807033627,0.0332048303297213,0.778158435785334,0.35900419812834,0.448572243190342,0.0402636110583182,0,0,0,0,0.373054563762412,0.498940657671547,0.0576034096734017,0.263908365071013,0,0.220900738348436,0.0915986453608708,0.145860180407368,0.147649783769255,0,0.0618139632347103,0,0.513666317887663,0,0,0,0.477138227957661,0.519583083715385,0.0949412973530784,0,0.181699499315904,0.313390658055988,0.54603174244735,0.346793922914305,0.346544346767269,0
"Myofibroblast",0.580813999592754,0.481322008468054,0,0,0.543577779911321,0.401288823605251,0.319475117897774,0,0,0,0,0,0.662908604788584,0.40929045931893,0,0,0,0,0,0,0,0,0,0,0.618738962715488,0,0,0,0.838709949385109,0.817069832636888,0,0,0,0.565385605046152,0.978518899709143,0.631565486654154,0.698027318747129,0
"Mystery_Disease_Epithelial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neuroendocrine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NK",0.544437744416846,0.355446046393568,0,0,0.377789374037659,0.256409455362628,0.246275598526578,0,0,0,0,0,0.269528804665018,0.457767598971567,0,0,0,0,0,0,0,0,0,0,0.616773117285919,0,0,0,0.428954990279171,0.936787988931732,0,0,0,0.240957669520202,0.725782200440339,0.505258343174695,0.441407503010138,0
"Pericytes",0.611848232694707,0.49991974267942,0,0,0.791042957844478,0.383942499623086,0.387523031939252,0,0,0,0,0,0.570152660127744,0.432873800561337,0,0,0,0,0,0,0,0,0,0,0.754479631313564,0,0,0,0.575588511806793,0.696663283722624,0,0,0,0.552326340888838,0.890127845916063,0.634143083845976,0.679302750898113,0
"Smooth-Muscle",0.984248535358075,0.798411133093876,0,0,0.946015004193705,0.560387396453012,0.429050908866999,0,0,0,0,0,0.977091610430134,0.484009363346311,0,0,0,0,0,0,0,0,0,0,1.2575517979598,0,0,0,1.05955011705363,1.07358087170632,0,0,0,0.813390871148581,1.60327354017333,1.33187632854226,0.823062970264062,0
"T",0.421779025686292,0.272541038999242,0,0,0.479612505673576,0.196633220893496,0.0839159208845955,0,0,0,0,0,0.364445323369322,0.153021854023011,0,0,0,0,0,0,0,0,0,0,0.571232678853684,0,0,0,0.456497970592554,0.498316179553911,0,0,0,0.201109785891996,0.793615389009455,0.45971790474246,0.314709074337508,0
"T_Cytotoxic",0.190490036423058,0.123332942413886,0,0,0.192534477133657,0.099178454027031,0.030060047173835,0,0,0,0,0,0.146467604211955,0.0774958911032578,0,0,0,0,0,0,0,0,0,0,0.222912124958907,0,0,0,0.183978137965475,0.250537039505409,0,0,0,0.101416736526281,0.477548183134126,0.323181483048175,0.158503661942465,0
"T_Regulatory",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vascular-Endothelial_A",0.166623169726423,0.125921900629955,0,0,0.149714957167133,0.0992611859679787,0.0636101337774305,0,0,0,0,0,0.148971482475804,0.0815795984693061,0,0,0,0,0,0,0,0,0,0,0.21115489339893,0,0,0,0.160388420552979,0.161312856444803,0,0,0,0.122645616923382,0.323212285192603,0.169675127689398,0.179540390791019,0
"Vascular-Endothelial_B",0.220304962336586,0.141101002822124,0,0,0.248083735733806,0.109086632561357,0.0583683048253449,0,0,0,0,0,0.181006105050997,0.10959792991608,0,0,0,0,0,0,0,0,0,0,0.257414238036913,0,0,0,0.24527249175367,0.295479893843359,0,0,0,0.155407224585001,0.356243889185507,0.240081089599647,0.167962320477792,0
"Vascular-Endothelial_C",0.152110212666783,0.0900594361776871,0,0,0.13778463253615,0.0618542880467039,0.0276394720130338,0,0,0,0,0,0.12810070354643,0.0455558250489193,0,0,0,0,0,0,0,0,0,0,0.166299322005421,0,0,0,0.110269232251664,0.139496589259437,0,0,0,0.076857938491118,0.258976138537709,0.129879985821422,0.136473916278986,0
