"","ATI","ATII","B","B_Plasma","Basal","Ciliated","Club","Dendritic_A","Dendritic_B","Dendritic_C","Dendritic_Langerhans","Dendritic_Plasmacytoid","Fibroblast","Goblet","Innate_lymphoid_A","Innate_lymphoid_B","Ionocyte","Lymphatic-Endothelial","Macrophage","Macrophage_Alveolar","Mast","Mesothelial","Monocyte","Monocyte_Non-Classical","Myofibroblast","Mystery_Disease_Epithelial","Neuroendocrine","NK","Pericytes","Smooth-Muscle","T","T_Cytotoxic","T_Regulatory","Vascular-Endothelial_A","Vascular-Endothelial_B","Vascular-Endothelial_C","Vascular-Endothelial_D","Vascular-Endothelial_E"
"ATI",0.0767798789483105,0.218553620142015,0,0,0.157893548015092,0.0526987236325108,0.173226850476283,0,0,0,0,0,0.160697964699785,0.0163787881997483,0,0,0,0,0,0,0,0,0,0,0.107647815799273,0,0,0,0.122109731620124,0.0950483957439158,0,0,0,0.0858240062061303,0.174764561547119,0.180496155756,0.195030777171775,0.0566891502349479
"ATII",0,0.0557279716621421,0,0,0.06821794415317,0.0405923277386962,0.0751690530762391,0,0,0,0,0,0.0734823636117708,0,0,0,0,0,0,0,0,0,0,0,0.0542513407019165,0,0,0,0.065919624197433,0.0571536949591387,0,0,0,0.0526052490370627,0.0798498311209284,0.0754890417813966,0.0835422102057485,0.0475788688955803
"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B_Plasma",0.195725484766783,0.290913525348224,0,0,0.118327860065361,0.0575929462906977,0.138178821348006,0,0,0,0,0,0.125598318767777,0.0304551820008186,0,0,0,0,0,0,0,0,0,0,0.0953279909000138,0,0,0,0.153928171492037,0.110699791674524,0,0,0,0.0802298260296819,0.148426518298371,0.143711868181532,0.161360734355743,0.0526156548490272
"Basal",0.0899075471759688,0.298172967762661,0.0267273145991019,0,0.385667749960921,0.152907981435663,0.407530868407503,0.0388065301561486,0.0247329249249946,0,0.0274580960994371,0,0.358424172607195,0.0391665547742851,0.252173484568608,0,0,0.135325005157973,0.247022369616554,0.212110804363156,0.32990073992921,0,0.211315429476839,0.0288543870896736,0.259942674991111,0,0,0,0.264492778053058,0.219436929718035,0.108226813862313,0.204823622532386,0.12038263271536,0.203128811256479,0.404810859627597,0.359685947848961,0.420343102948221,0.150473313965473
"Ciliated",0,0.384147618980123,0,0,0.61604075433634,0.232785123450756,0.603104693759188,0,0,0,0,0,0.536715409182951,0,0,0,0,0,0,0,0,0,0,0,0.451860913092352,0,0,0,0.660813723896861,0.537468549114109,0,0,0,0.365923403647833,0.703284891013383,0.580860406846123,0.842550798534486,0.43585348443967
"Club",0.347259475880409,0.934198615988244,0,0,0.684313467381699,0.407173923923224,0.61252117661562,0,0,0,0,0,0.710408937410727,0.130719606995026,0,0,0,0,0,0,0.67009235878542,0,0,0,0.55053270220517,0,0,0,0.617027283127098,0.5042502749835,0,0,0,0.376303422148075,0.576850562004832,0.608661933090543,0.693314507801959,0.349802850734969
"Dendritic_A",0.738844982682729,1.33819603702734,0.108185762791228,0,1.01145351144454,0.667905234543524,0.933029465328293,0.10842731198652,0.0447440873767634,0,0.0554478715026146,0,0.864582810269228,0.32440309472139,0.279838456079008,0,0,0.241671272459254,0.356621039202195,0.308991402458676,0.818919303133482,0,0.370153383041357,0.0783037009197145,0.617857473348611,0,0,0,0.513263603795551,0.538568507519505,0.137905506706109,0.269996010816098,0.184818362630695,0.40291416940558,0.676416308098049,0.70834957302502,0.779182370482951,0.320859053135616
"Dendritic_B",0.129603699414255,0.197400116587644,0,0,0.0514756394238021,0.0498783160278846,0.0589896620933079,0,0,0,0,0,0.0553384339988005,0.0363611174841673,0,0,0,0,0,0,0,0,0,0,0.0412486603383673,0,0,0,0.0570527867941052,0.0389721859107269,0,0,0,0.0350994767245032,0.0677171107462825,0.0694588087804825,0.0645072211734986,0.0305978504698946
"Dendritic_C",0.118974438623156,0.244180185625919,0,0,0.105946392539048,0.087127613720385,0.117062456421423,0,0,0,0,0,0.136576572651485,0.0484498180681924,0,0,0,0,0,0,0,0,0,0,0.0868647429510187,0,0,0,0.139575943678393,0.109234214109031,0,0,0,0.0629853342377614,0.132561034595676,0.12142465529496,0.163340295382458,0.0911668974808455
