"","ATI","ATII","B","B_Plasma","Basal","Ciliated","Club","Dendritic_A","Dendritic_B","Dendritic_C","Dendritic_Langerhans","Dendritic_Plasmacytoid","Fibroblast","Goblet","Innate_lymphoid_A","Innate_lymphoid_B","Ionocyte","Lymphatic-Endothelial","Macrophage","Macrophage_Alveolar","Mast","Mesothelial","Monocyte","Monocyte_Non-Classical","Myofibroblast","Mystery_Disease_Epithelial","Neuroendocrine","NK","Pericytes","Smooth-Muscle","T","T_Cytotoxic","T_Regulatory","Vascular-Endothelial_A","Vascular-Endothelial_B","Vascular-Endothelial_C","Vascular-Endothelial_D","Vascular-Endothelial_E"
"ATI",1.11365824002194,0.980456172484473,0,0,0,0.742626730763391,0.868314686077948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22722015922614,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATII",0.934490209164061,0.648498821262545,0,0,0,0.835380594366773,0.947705500326746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84317106662301,0,0,0,0,0,0,0,0,0,0,0,0,0
"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B_Plasma",0.517531336490188,0.42504184168965,0,0,1.34788972053085,0.336995784026754,0.402728975558063,0,0,0,0,0,1.21552265540521,0.566797899179192,0,0,0,0,0,0,0,0,0,0,0.664910762179965,0,0,0,0,0,0,0,0,0,0,0,0,0
"Basal",0.821600862539199,0.379081307127125,0,0,1.2220775705973,0.365840640121765,0.626946886236058,0,0,0,0,0,0,0.791015809857186,0,0,0,0,0,0,0,0,0,0,0.88912867285796,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ciliated",0.886084248266132,0.735504170331837,0,0,0,0.656193611818894,0.674710753975759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.930895107009514,0,0,0,0,0,0,0,0,0,0,0,0,0
"Club",0.803432665935379,0.898284952429784,0,0,0,0.463903977946879,0.505247511299964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978293604989433,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_Langerhans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_Plasmacytoid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblast",0.649304059982941,0.618661604222398,0,0,0,0.8216563051963,0.443759728500881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14970124362366,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goblet",0.939827116976158,0.254751824624698,0,0,0.676249956359787,0.713161507684329,0.847335894883851,0,0,0,0,0,0,1.02809335953685,0,0,0,0,0,0,0,0,0,0,1.19495118819102,0,0,0,0,0,0,0,0,0,0,0,0,0
"Innate_lymphoid_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Innate_lymphoid_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ionocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lymphatic-Endothelial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macrophage",0.560627544196106,0.384889786037343,0,0,0.48671713843523,0.357577820979289,0.369312212513459,0,0,0,0,0,0,1.03188909589761,0,0,0,0,0.341807614594199,0,0.266105116450773,0,0,0,0.627175089358809,0,0,0,0,0,0,0.391900992964611,0,0,0,0,0,0
"Macrophage_Alveolar",0.55303666726082,0.225181041207766,0,0,0.507524342989509,0.275885527428901,0.312194863385629,0,0,0,0,0,0.630752688793668,0,0,0,0,0,0,0,0.286912321005052,0,0,0,0.705895305269482,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mast",0.565380653260938,0,0,0,0,1.03656282520559,0.468183209366909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19854820535572,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mesothelial",0,0,0,0,0,0,0.0919526886160575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
