"","ATI","ATII","B","B_Plasma","Basal","Ciliated","Club","Dendritic_A","Dendritic_B","Dendritic_C","Dendritic_Langerhans","Dendritic_Plasmacytoid","Fibroblast","Goblet","Innate_lymphoid_A","Innate_lymphoid_B","Ionocyte","Lymphatic-Endothelial","Macrophage","Macrophage_Alveolar","Mast","Mesothelial","Monocyte","Monocyte_Non-Classical","Myofibroblast","Mystery_Disease_Epithelial","Neuroendocrine","NK","Pericytes","Smooth-Muscle","T","T_Cytotoxic","T_Regulatory","Vascular-Endothelial_A","Vascular-Endothelial_B","Vascular-Endothelial_C","Vascular-Endothelial_D","Vascular-Endothelial_E"
"ATI",0.748980391775146,0.589500872267994,0,0,0,0.445408183688566,0.628153680700419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10299361637788,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATII",1.49693080248068,1.12528918028329,0,0,0,1.11155223953535,1.30994245358869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39390155899419,0,0,0,0,0,0,0,0,0,0,0,0,0
"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B_Plasma",0.509627588216079,0.270408308955353,0,0,1.24516323903847,0.184648911953662,0.656775043207979,0,0,0,0,0,1.03053262273114,0.765248115773192,0,0,0,0,0,0,0,0,0,0,0.97830123386249,0,0,0,0,0,0,0,0,0,0,0,0,0
"Basal",1.66246578834738,0.358313944909605,0,0,1.06266056603737,1.21391043019632,1.2999856551232,0,0,0,0,0,0,1.40845872768842,0,0,0,0,0,0,0,0,0,0,1.62151184577772,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ciliated",1.33365613517428,1.02963952575728,0,0,0,1.08195646698217,1.13788301884689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4231312118648,0,0,0,0,0,0,0,0,0,0,0,0,0
"Club",1.32974198046471,1.51617441217561,0,0,0,1.01044072317811,0.950758571906345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9536590281274,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendritic_C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
